dev,background,link
1. CapitaLand Limited,"CapitaLand is one of Asia's largest real estate companies, with a diverse portfolio of residential, commercial, and industrial properties.They have been operating since 2000, with a rich history of successful developments across various segments.Notable achievements include iconic projects like The Interlace and d'Leedon, known for their innovative designs and sustainable features.CapitaLand aims to shape the future of real estate by delivering quality developments, focusing on sustainable practices, and creating vibrant communities.",https://www.capitaland.com/
2. City Developments Limited (CDL),"CDL is a leading global real estate company with a strong presence in Singapore and overseas markets.They have been in operation since 1963 and are known for their commitment to quality, design excellence, and sustainability.CDL has received numerous accolades, including being the first Singapore company to be listed on three international sustainability benchmarks.Their mission is to create quality homes and build a sustainable future, emphasizing environmental stewardship, community engagement, and corporate social responsibility. City Developments Limited (CDL) is a leading global real estate company with a network spanning 143 locations in 28 countries and regions. Listed on the Singapore Exchange, the Group is one of the largest companies by market capitalization. Its income-stable and geographically-diverse portfolio comprises residences, offices, hotels, serviced apartments, student accommodation, retail malls and integrated developments.Over the past 55 years, CDL has developed over 47,000 homes and owns over 23 million square feet of gross floor area in residential, commercial and hospitality assets globally. Its diversified global land bank offers 3.5 million square feet of land area.CDL has been recognized for its excellence and sustainability leadership. In 2022, it was ranked 10th in the world by the World Economic Forum's Global Real Estate Sustainability Benchmark. It has also been awarded the Singapore Green Building Council's BCA Green Mark Platinum Award for its sustainable developments.",https://www.cdl.com.sg/
3. Hong Leong Group,"Hong Leong Group is a diversified conglomerate with a wide range of businesses, including property development and investment.With a long history since 1941, they are recognized for their expertise in residential, commercial, and industrial developments.Notable achievements include successful collaborations with renowned architects and the delivery of iconic projects like The Tate Residences.Their goal is to create exceptional spaces that enhance the quality of life, focusing on design, innovation, and customer satisfaction.",https://www.hlg.com.sg/
4. Far East Organization,"Far East Organization is one of Singapore's largest private property developers, known for their extensive portfolio of residential and commercial properties.They have been operating for over 60 years, establishing themselves as a trusted name in the industry.Notable achievements include numerous successful residential projects across different market segments and the development of vibrant mixed-use communities.Their mission is to create sustainable and enriching spaces that contribute to the social and economic well-being of individuals and communities.",https://www.fareast.com.sg/
5. UOL Group Limited,"UOL Group is a well-established property developer with a focus on residential, commercial, and hospitality developments.They have a history spanning over 50 years, delivering high-quality projects that cater to various market segments.Notable achievements include the development of award-winning residential projects like Principal Garden and The Tre Ver.UOL Group's mission is to deliver quality developments that enhance the value and quality of life for their customers, while prioritizing sustainability and innovation.",https://www.uol.com.sg/
6. Keppel Land Limited,"Keppel Land is a leading property developer with a diversified portfolio that includes residential, commercial, and integrated developments.They have a history dating back to 1890 and are known for their expertise in creating sustainable and vibrant spaces.Notable achievements include iconic projects like Reflections at Keppel Bay, renowned for its unique architecture and waterfront living.Keppel Land's goal is to be a key contributor to urbanization, creating sustainable and liveable communities through innovative and quality developments.",https://www.keppelland.com.sg/
7. SingHaiyi Group Ltd,"SingHaiyi Group is a fast-growing property developer with a focus on residential, commercial, and industrial projects.They are known for their dedication to quality and delivering value to customers through well-designed and strategically located developments.SingHaiyi Group has achieved notable success in both the Singapore and US property markets.Their mission is to be a premier real estate enterprise with a commitment to innovation, quality, and sustainable growth.",https://www.singhaiyi.com/
8. GuocoLand Limited,"GuocoLand is a reputable property developer with a diverse portfolio that includes residential, commercial, and integrated developments.They have been operating since 1967 and are known for their expertise in creating sustainable and iconic projects.Notable achievements include the development of Guoco Tower, a landmark integrated development in Singapore's central business district.GuocoLand's mission is to create innovative and sustainable developments that contribute to the overall well-being and growth of communities.",https://www.guocoland.com.sg/
9. Wheelock Properties (Singapore) Limited,"Wheelock Properties is a renowned property developer with a focus on luxury residential developments.They have a history dating back to 1972 and are recognized for their commitment to quality and design excellence.Notable achievements include the development of prestigious projects like Ardmore Park and Scotts Square.Wheelock Properties aims to create distinctive and exceptional homes, embodying luxury, comfort, and timeless elegance.",https://www.wheelockproperties.com.sg/
10. Hoi Hup Realty Pte Ltd,"Hoi Hup Realty is an established property developer known for their residential projects across different market segments.They have been in operation since 1983, delivering quality homes that meet the evolving needs of homeowners.Notable achievements include successful developments like Sophia Hills and Rivercove Residences.Hoi Hup Realty's goal is to create value and provide quality homes for their customers, focusing on innovative designs and sustainable living.",https://www.hoihup.com/
11. Allgreen Properties Limited,"Allgreen Properties is a reputable property developer with a diverse portfolio of residential, commercial, and mixed-use projects.They have a long history since 1986 and are known for their commitment to quality, design, and sustainability.Notable achievements include the development of Fourth Avenue Residences and Juniper Hill.Allgreen Properties' mission is to build quality homes and create sustainable environments that enhance the well-being and lifestyles of their residents.",https://www.allgreen.com.sg/
12. Bukit Sembawang Estates Limited,"Bukit Sembawang Estates is a well-established property developer with a focus on residential developments.They have been operating since 1911, delivering quality homes that meet the needs of discerning homeowners.Notable achievements include the development of luxurious projects like 8 St Thomas and Luxus Hills.Bukit Sembawang Estates' mission is to create homes of enduring value, blending quality, design, and functionality.",https://www.bukitsembawang.sg/
13. Frasers Property Limited,"Frasers Property is a global integrated property company with a diverse portfolio of residential, commercial, and industrial properties.They have a long history and a strong presence in Singapore's property market.Notable achievements include successful developments like North Park Residences and Riviere.Frasers Property's mission is to create sustainable and inclusive spaces that enhance the lives of people and communities.",https://www.frasersproperty.com/
14. Chip Eng Seng Corporation Ltd,"Chip Eng Seng Corporation is a reputable property developer with a diverse portfolio of residential, commercial, and industrial projects.They have been operating since 1998 and are known for their commitment to quality and value.Notable achievements include the development of projects like The Poiz Residences and Grandeur Park Residences.Chip Eng Seng Corporation aims to deliver quality developments that meet the needs and aspirations of their customers.",https://www.chipengseng.com.sg/
